               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.043216,            0.028626,           0.0061326,             0.85288,             0.73963,              0.8244,             0.45404,            0.045472,             0.02652,           0.0079147,            0.001585,            0.001585,            0.001585
                  87,            0.044948,            0.028505,            0.006281,             0.82914,              0.7448,             0.80567,             0.43054,            0.045212,             0.02639,            0.008725,            0.001486,            0.001486,            0.001486
                  88,            0.043275,            0.026776,           0.0065332,             0.74466,             0.67291,             0.74079,             0.37976,            0.045216,            0.026619,            0.013539,            0.001387,            0.001387,            0.001387
                  89,            0.043136,            0.028936,           0.0055895,             0.80289,             0.76282,             0.79216,             0.42847,            0.044216,            0.026428,           0.0083969,            0.001288,            0.001288,            0.001288
                  90,            0.043769,            0.030428,           0.0064238,              0.7919,             0.76872,             0.80904,             0.42661,            0.044188,            0.026188,           0.0087128,            0.001189,            0.001189,            0.001189
                  91,            0.043538,            0.029743,           0.0057313,             0.78157,             0.81021,             0.84218,             0.45027,            0.043657,            0.026237,           0.0076965,             0.00109,             0.00109,             0.00109
                  92,            0.042939,            0.028942,           0.0064603,             0.80951,             0.76145,             0.81427,             0.43731,            0.044239,            0.025984,            0.008345,            0.000991,            0.000991,            0.000991
                  93,            0.043277,            0.031006,           0.0054813,             0.75907,             0.72995,             0.80767,             0.43893,            0.044141,            0.025795,           0.0088623,            0.000892,            0.000892,            0.000892
                  94,            0.043372,            0.029392,           0.0059968,             0.78323,             0.74359,             0.80249,             0.42626,             0.04456,            0.025793,           0.0077255,            0.000793,            0.000793,            0.000793
                  95,            0.043318,             0.02934,           0.0054463,             0.82942,             0.74359,             0.81371,             0.45035,            0.044317,             0.02574,           0.0072502,            0.000694,            0.000694,            0.000694
                  96,            0.042231,            0.029445,           0.0056487,             0.82101,             0.74359,             0.82042,             0.46014,            0.043604,            0.025711,           0.0070297,            0.000595,            0.000595,            0.000595
                  97,            0.041613,            0.028985,           0.0061267,               0.835,             0.73383,             0.81711,             0.46055,            0.043955,            0.025581,           0.0070869,            0.000496,            0.000496,            0.000496
                  98,            0.042371,            0.029343,           0.0052113,             0.85058,              0.7346,             0.82122,             0.45873,            0.043743,            0.025543,           0.0072693,            0.000397,            0.000397,            0.000397
                  99,            0.043263,            0.030237,           0.0059428,             0.82569,              0.7298,             0.81508,             0.44208,            0.043794,            0.025549,           0.0076385,            0.000298,            0.000298,            0.000298
